"","outd","NoInt:0.75","CI_HQ_SD:0.75","PC_CI_SD:0.75","PC_CI_HQ_SD:0.75","NoInt:0.5","CI_HQ_SD:0.5","PC_CI_SD:0.5","PC_CI_HQ_SD:0.5","NoInt:0.25","CI_HQ_SD:0.25","PC_CI_SD:0.25","PC_CI_HQ_SD:0.25"
"212",211,207402.6,142528.3,6049.5,13028,207402.6,142528.3,2247.8,4918.4,207402.6,142528.3,2216.3,893
"213",212,188970.9,145741.5,6604.8,13730.3,188970.9,145741.5,2210.4,5308.5,188970.9,145741.5,2153,917.7
"214",213,172179.7,148928.7,7246.9,14392.5,172179.7,148928.7,2175,5742.8,172179.7,148928.7,2084.8,954.9
"215",214,156755.7,152101.4,7951.5,14943.2,156755.7,152101.4,2153.1,6203.8,156755.7,152101.4,2009.7,1000.5
"216",215,142733.7,155404.4,8726.1,15387.5,142733.7,155404.4,2142,6710.6,142733.7,155404.4,1934.1,1067.4
"217",216,129843.7,158611.7,9574,15733.5,129843.7,158611.7,2161.8,7264.4,129843.7,158611.7,1864,1133.3
"218",217,118174.7,161930.7,10496,15931.9,118174.7,161930.7,2200.5,7827.7,118174.7,161930.7,1802.1,1210.6
"219",218,107513.7,165320.5,11514.5,16043.2,107513.7,165320.5,2278.7,8454.7,107513.7,165320.5,1749.7,1304.2
"220",219,97763.5,168814.8,12605,15991,97763.5,168814.8,2389.5,9116.3,97763.5,168814.8,1683.7,1400.1
"221",220,88959.1,172141.4,13721,15782.9,88959.1,172141.4,2527.5,9830.6,88959.1,172141.4,1632.5,1513
"222",221,80992.2,175510.1,14831.9,15467.8,80992.2,175510.1,2696.1,10583.8,80992.2,175510.1,1577.5,1640.7
"223",222,73677.4,179004.1,15866.9,15061.1,73677.4,179004.1,2911.2,11370.3,73677.4,179004.1,1523.6,1776.3
"224",223,67028.4,182418.3,16874.3,14549.6,67028.4,182418.3,3167.6,12205.3,67028.4,182418.3,1479.4,1922.9
"225",224,61010.4,186025.8,17796.4,13983.8,61010.4,186025.8,3441.9,13039.4,61010.4,186025.8,1437.7,2071.2
"226",225,55517.5,189421.9,18628.1,13354.6,55517.5,189421.9,3759.8,13851.7,55517.5,189421.9,1398.1,2226
"227",226,50533,192939,19357.3,12704.8,50533,192939,4136.4,14611,50533,192939,1364.2,2406
"228",227,45956.6,196447.7,19916.5,12043,45956.6,196447.7,4532.8,15325,45956.6,196447.7,1326.3,2603.8
"229",228,41779.8,200066,20316,11374.2,41779.8,200066,4987.4,15921.1,41779.8,200066,1287.4,2812.8
"230",229,38033.6,203444.9,20547.2,10742.8,38033.6,203444.9,5471,16425.9,38033.6,203444.9,1265.8,3042.9
"231",230,34578.9,206876.6,20619.4,10161.5,34578.9,206876.6,5994.8,16841.7,34578.9,206876.6,1236,3298.9
"232",231,31487.1,210378.3,20595.6,9587.7,31487.1,210378.3,6565.2,17133.1,31487.1,210378.3,1212.3,3562.3
"233",232,28631.6,213790.2,20514.7,9051.4,28631.6,213790.2,7187.5,17275.1,28631.6,213790.2,1199.9,3839.1
